achievement_count,athlete_count,athlete.id,athlete.resource_state,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_latlng1,end_latlng2,external_id,flagged,from_accepted_tag,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,manual,map.id,map.resource_state,map.summary_polyline,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,sport_type,start_date,start_date_local,start_latlng1,start_latlng2,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,workout_type
0,2,66644446,1,19.159200000000002,0,FALSE,FALSE,27.3993,6197,25.8,1.7,37.8822112083435,-122.29146762751,D0287C73-CFC6-46B1-ABF1-CE1F9EAE36EF-activity.fit,FALSE,TRUE,FALSE,FALSE,FALSE,7756158635,1,FALSE,a7756158635,2,}zefFx`liVX~@jAc@g@ZtBs@_@iCEoAZwAp@e@|M_FpB^j@eAxC_AFIEORKA_@NWf@YTe@VO|BJh@WF_@NGbA\~DUb@nHfCp^rHjn@VHfa@cJjB`Ok@|AHp@Z\d@BpBSp@g@XBNRp@rDQ|@eAd@]b@Qp@ExAc@Xu@a@eBbB}B|@mAJoA]}EmCi@E{Dd@uR~DwJrCoRzEa@v@b@|EAb@Sl@kBhAqNjKgG~Ca@j@g@jBu@t@wBd@kAhAmBrCeB\mDxAiK?u@MiAm@}AEs@@i@TMa@e@]?cRNkC|@}C^q@|CuCRc@AYeDu@iBFaHy@{BAgCNiDn@yFlBwBhAsEhDkKnIyA~Ai@|Aa@dDa@lE@bCSn@w@jAu@ZY_@e@Q{@LcBrAo@`AkFbDyCtBcH~FyCpCmC~CcCtDuBdEeCzGsBpIwMv`AU`@[RqDf@_Ab@gAWONk@hCuAfF@vBs@hCMbCa@fBInAm@hDa@nAqAr@KRHl@[vABpB_@hA@fAH^z@jAHh@d@t@g@NET_AiAaA@rAKLcAh@j@d@e@~@?jBxBrBBZMA}Fb@]dN@bCPXf@@~El@vBFhOTj@Ip@Hz@K|AXV|DGXUNaAF?e@qAGq@LkGd@yC@cAXqEV{AEcBPwAYuAy@iASk@AaAP_C?iB_@_GMa@cAcAy@wC{CeDKsAHcAMa@i@OyAt@YIGeCOe@m@q@CqAUm@nMg_AtAwG~BmHdCmFrFaIrCwCtImHvDkCxAs@pCwBn@cAjA}@jA[p@l@@ThAq@r@oALc@@{Cz@kIZkA`AwArEyDdMqJzEuBdEkAlDi@jCA|Iz@dBGvCn@LRSb@sClCo@`Ak@zAUlAIpACdRHdA\DRb@h@QhCAx@f@|AV|JAfD{AjB]dBiCdAeAxCaAl@u@X}A`@k@jG_DlNmKjBiA@S`@]T}@]iASsCFW`GcBtJuBhJmCrSkEtD]pD|AfBfAr@FlAMfCgAnAoAL@RVb@EZc@DqAPi@lAu@TYH_Aw@{Dc@Gi@f@yBR]A][GgAd@u@BW{@{Hu@gEuNtCcLpCoDt@SIeDaXFKa@iDkBiN?s@Qy@cDue@gETk@QYDW`@c@HgAOs@Hi@p@k@^Cl@UJ?\mDlAUf@}BU[X_MlE_Ap@SjA?n@\nDoCn@MaA,35.4384,5148,Lunch Ride,0,0,FALSE,2,Ride,2022-09-04T18:38:17Z,2022-09-04T11:38:17Z,37.8822348453104,-122.29148413986,(GMT-08:00) America/Los_Angeles,69.7,0,FALSE,Ride,8282480415,8282480415,-25200,everyone,NA
2,1,66644446,1,10.4616,0,FALSE,FALSE,6.466,2262,76.2,20.8,37.8815177734941,-122.291487241164,450CF9B0-FB74-4325-A9DD-DCBF9FEEB341-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7742398010,0,FALSE,a7742398010,2,iyefFzaliVCIF?NIhAECDJSAE@[CSBME]Ig@MQ?IFSH}@DM\a@RKPOb@SJAh@YD@JKTKH?`@MfBs@jA]nBs@JAx@RXHDDj@JDI?GK[\g@n@W^Iv@[RMFSJKJe@NOLGZ[HOTOh@MR@TF^BZGVOH[?k@@GTSXi@FE`@{@@OA[H]r@sANOd@mAHu@AUIUC{@KiAGwAKo@BUG{@KG_@EO@GEqAJW?mALeABUB?@ASCK?SE_@@ILQ@MAIKK?YBE@ECGGEC_@FKIS_@kC?UDIF?NKH@NEN?\GP?\Ex@CxAM`ACPEBCLB|AIBICmCEi@?UE_@@KBGMeAW{DS}BG_BEK@KKw@?m@G_@EkAIo@@aAG_AE_@KY?e@K{@@g@Iq@BOEa@CE?QE]@c@Ci@Ks@BKAUESA]EU?_@Ia@Cq@QqAIqB?iBIm@EQKI[CIIa@GYA{@JB`CJnA?ZRfC?^ADGBI@IC[BSHu@@OBMCuBRqBFOBOAQBGAIBk@BUFq@?UFMGa@Lc@BQ?OD_@@IFYCe@Do@A{AL]?IBk@FOCEBe@@QDKAQHWAkAD[FOCO?u@FIAg@@UHa@B[AOFSCw@HKAWFEFG@SCKBOAK@_@EUDQ?YHQBS^KL[dAYb@G@MHUFW@GDSFSRU`@GT@JNR^`@b@XNTRP?DDBLPBPNDXd@HDNRB@DJZXNXPRDJZZHZPHXb@^hALRRd@Pn@Zn@@FXf@BHHJNj@BXHXJPZt@BZZ^R\HRBTP^DVNVHXFFL`@NVLd@HJVj@Nd@FHZ|@Vh@h@xAJNDf@FLBP^j@j@jANj@PXd@lALPDJZ`@?NRh@vA|CH`@HD?BMXGb@K\A\IRCb@a@hCAP?RKVIh@IN?ZGh@SpAMdAQV@NGj@Gb@EH?JENIv@O~@GhAGRQ`AEh@Ib@FJDb@DPDfADH?PEREB,15.048,2225,Morning Run,0,0,FALSE,2,Run,2022-09-02T14:28:07Z,2022-09-02T07:28:07Z,37.8819756768644,-122.291650939733,(GMT-08:00) America/Los_Angeles,59.9,0,FALSE,Run,8266712195,8266712195,-25200,everyone,0
0,1,66644446,1,10.1952,0,FALSE,FALSE,6.0573999999999995,2197,76.2,20.8,37.8815823979676,-122.291509369388,40CB68AF-2E95-42E0-AE5E-24DBF48EF65E-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7725701480,0,FALSE,a7725701480,2,exefFvaliVBGt@IBICOG?J_@?GCEAq@Mk@IQ?EDKHa@Fs@DIl@WRQRELKVG|Ak@pBy@`DeAVMLAj@HZJNHt@PDI@GKe@?ILGRUPENGj@MRKr@UFKBSJI@GBYJSPMRET_@XS`@KdAJTATGNKDIDU?s@^]x@cBAg@BQx@}ARe@BKX[FQBe@Eu@?w@SoB?_@KsAEiAOsAC[BESkCTMb@CFC^APG^AFCDO@OCqAE]?[McAOiC?WKeAK{BOeBA_@KkAEgAMuAEeBKy@Cw@I_AU_CI_A@UEQEk@@SSyBAq@BYGa@@c@Ec@@WK{@G]?KIq@GgAGk@Eo@C}@Ks@?ICU@I?e@EMCg@CKGE{ACq@DAH?vBFl@?b@BZD~@NrAAF?NCD_BRIAUBOAiAJU?s@H_@?]DCBWFO?YFQAe@BSEMDEAm@?wBLe@FEAQFWAg@FSA{BTYAWBa@@QCMBQ?[FCAMFk@?qAHIBUAeAFIC_@BOFM?SDk@@GCQDEAMBIAI@WLSA[NMEEBQCS@MEYAm@B[HEBE?EDIXILW|@_@n@a@HGAK@ODEDc@PAPQRQj@?HDZTHLLd@Xx@z@HNTXBH`@`@JDC@DEn@fAVZBJPNDHVX^n@Jb@NZBPRd@FVHPLd@PR@LFDj@lAb@~AN^Pn@RX|AhDd@rAXn@DXBDFDHTR\BPVd@Vx@HNLb@Vh@Dd@FP?RFPHNPNb@t@Z~@V\\x@Vh@RXBLP\Vv@Tb@FDRv@PTJ`@KZE`@Kv@EPGh@EVIRQ`BMd@EdAKZALK^Ip@GXA`@Ij@IVK~@Ot@Q|AI^Ef@CNE@?\KXUnA?\KPBRHPF~@FR@`AEHIB,16.5168,2139,Morning Run,0,0,FALSE,2,Run,2022-08-30T14:21:29Z,2022-08-30T07:21:29Z,37.8817916940898,-122.291633086279,(GMT-08:00) America/Los_Angeles,59.7,0,FALSE,Run,8248035148,8248035148,-25200,everyone,0
2,1,66644446,1,9.867600000000001,0,FALSE,FALSE,4.326,1669,76.2,20.8,37.8822425566614,-122.28068950586,82678947-1D92-455F-8A73-4FB6BE8B689E-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7709709454,0,FALSE,a7709709454,2,_yefFvaliVL?XGVATG@GGIDa@E[Ac@Ig@AIGCLc@AUFS@YBGh@c@LEDGJAZUXMPKh@QZMXGTMf@MRKHANKvAa@HI`@IPMJAXOl@JXLLBLHj@JDAFG?GGIIM@INWNQb@ONK`@EPK^IPIJ]HIDa@LYNMVM?GDEHCZUVGV?v@Jf@KFEJMBMBWC]ZUZs@b@w@BIAg@BU`AcBPOTe@F[?[Dm@Ki@Cg@QsB@KUwC?KCE?SKu@C}A]uDIyAW}CCiAMy@Cy@YeE@EA[SwB?YM{ACeAQkBCw@IiAA}@OuBK[AM?S@MG]@e@OaBCy@Ke@GcAAk@K_ASIMAQ?k@D_@Ay@LGA{@@a@FOAc@Be@HMCs@HOCSD_@BSCO@QDY?_@FK?IEMHQBgAJ_BBqAL}@@YDy@Bo@HeBF{CR[CWFg@@OBGCM@KDWAc@JGFcDj@CKGCSEO@OFMPYjAMXKLYDQJK@IDGAUB]ZCLO\?Hn@t@XTJNPJr@|@LTDBRXl@p@JTl@t@Pb@JD^l@HPBTNPBLVf@Pt@Rh@P\p@bBDDDRFL@TBHJBZdAZd@JX?HJTD@^~@BLFFTx@LT@PL`@NX@F?Nb@h@Pf@VZFT,15.6024,1578,Morning Run,0,0,TRUE,2,Run,2022-08-27T15:38:01Z,2022-08-27T08:38:01Z,37.8819299116731,-122.291636355221,(GMT-08:00) America/Los_Angeles,57.3,0,FALSE,Run,8229931632,8229931632,-25200,only_me,0
0,1,66644446,1,9.943200000000001,0,FALSE,FALSE,6.0883,2233,76.2,20.8,37.8814886044711,-122.29147005826199,C25714A7-B988-4E7E-88AB-CB5B1697DE3C-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7692667747,0,FALSE,a7692667747,2,wyefF`bliVj@I^Mh@KFC@IMA?MEOCaAIc@GMGBPS@a@NiAj@WFGLGXU\Mb@KVQF?rAg@FAF@|@c@pAa@b@S`@KRMP?n@H^JVL\JBWKU?IDEZYTINKv@Sv@YBEBQRS@UHUp@e@NQNIFILGXE|@LPAh@SFK@G@aAj@k@j@oABIA_@BSLYx@qATu@Tg@D_BICAk@OaBCw@KiAE{@MsAGwAGo@A]@IVQd@IP?\MJD^IDSCc@BOEUCcAKcAI}AGm@]oGEYEy@KgA@WY}CAk@S_CEoAIk@?]GWMoB@GGu@Ao@IeAAi@Ga@?[CUAa@IYAo@Em@@s@YaBOwBAk@OmB@KEw@?a@CEKE}AGg@DGB@pAEPK?EDHVFr@CFBD?PDP@^Jj@@TNjAK@EFOA_ATSEeAFm@@m@J]@IBi@?_@Dg@AQDc@BIE_@F{@Bm@JMESF]BaANm@Ae@DWFy@DG@w@?w@JMCWBMAa@Fe@?c@Ho@@SDSAy@DQCKBa@@ODw@DG@MLIEOAeARYACEG@IDG@K?EBQAcAz@Pu@e@@a@HWXINQt@U^UNG?MHI?GC[PG@GFQ@AFGFCRMPI\?FHBFNRRBHx@r@PTD?DDDJJHFP^ZBHDBNPJCABNZNP?HX\d@x@LFHJZf@H\T^@RLRDJHHNr@l@lANPJ^B@Lf@@LJRBZPf@Ll@PJ`@l@`@v@FVT`@d@pAPVDj@?NHX`@b@P^BLJTHLTh@@RFN`@~@FH@F?TJl@JLRNd@t@L^?R@Ld@t@FRXd@Pb@NPd@lAH\LRHV`@n@HVHLHX?DMROdA?TIX]jCIR@HALSfAAj@GJMn@Ih@@NIXGh@K`@AV]jBAXSfACP?\Mh@ATM^WlBIT?FJPD|@DJ@l@F`@AF,17.6832,2204,Morning Run,0,0,FALSE,2,Run,2022-08-24T14:27:44Z,2022-08-24T07:27:44Z,37.8820467554033,-122.291683126241,(GMT-08:00) America/Los_Angeles,61.9,0,FALSE,Run,8210608593,8210608593,-25200,everyone,0
1,1,66644446,1,9.9216,0,FALSE,FALSE,6.0999,2266,76.2,20.8,37.8815488703549,-122.291499981657,83695191-DC75-48D5-ADD4-ED825A6F6400-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7686772625,0,FALSE,a7686772625,2,oyefFxaliVp@Gb@KRG@EMU?u@QmAIQP{@@UPmAF_@Rm@ACJCl@LFAL@PDZPD?HG`ASn@U|@]ZGv@UhBw@RBdBf@TFF?Ki@Vm@JGpA_@DGb@MVKBG?QNMBYDSVUPIj@c@XM^CLDj@D^INOFOCg@DSf@_@DINc@PWRc@?GCQ?QBKh@cAN_@PSb@_AE_AB]Gi@DABIAUGQAYMs@?a@CQ@UMq@?a@E]AC@QOmAGiA?QCs@PWLEH?VGV?f@K\CDG?KCW@IGi@@UKoAMqCWwCIaCSsBOsBGoA?SIqA?UEKK{@?a@Ga@@SIo@Be@Cc@C_@GSEw@Km@?k@QiB@WIq@@OCUBUAMGe@AWGk@?c@OeAA[EKAm@OwA?q@EWI_B?UCc@@UCIIAsA?IEQ@]CCR@h@CXJZCv@TbC?`@Hf@@d@CDy@Pq@HWAWFMAI@IHMA]FG?IG_ALqABCDWEACK?OBG?SLYAWDWEm@DIDEAMFe@?qALc@?ICYJU?eAJO?QDq@?[BKAOIGDUDS?GDC?OFI?m@Hs@EUDa@A[@_@DMCU@_@Fi@Le@DCBs@@MBMFSAMHu@IMBWEUDOCIGC?k@`@S^_@`AMJOVODMJ]FQHI@QJOTGBIVH`@HJHXV\b@`@X^^^Th@ZXAC?BD?AAVb@HFABFLJFHTHHb@n@TLLVJHNp@T`@JZHJHh@DJLJJh@LVNLVn@HL@RPXF^Tb@Ab@@JRV@FLF@FNRr@bBHJFTHPD@Ld@DBJZ@NHLANHZHHNZZv@Vb@^~@Jb@R^L|@NX@FP`@n@`ABPRf@RXJb@RRDT@?EFCPRVHd@HTZr@FFT`@Pf@HPBPLRJZ@HM|@AZQjAGJGt@a@dCMlA]pBSdBs@nECn@Gf@Mj@Ed@YtAFZNrCAVKH,15.2784,2213,Morning Run,0,0,FALSE,2,Run,2022-08-23T14:42:11Z,2022-08-23T07:42:11Z,37.8820050135255,-122.291649514809,(GMT-08:00) America/Los_Angeles,59.9,0,FALSE,Run,8204028359,8204028359,-25200,everyone,0
2,1,66644446,1,10.278,0,FALSE,FALSE,6.1101,2187,76.2,20.8,37.8816808015108,-122.291565192863,87DE32A0-8477-4025-9816-D14CD5E51078-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7681047403,0,FALSE,a7681047403,2,{xefFpaliVADRGf@ATGADFIEU@_@G{@Ea@MU@GT{Al@i@F@FKNKNCJKTIv@a@pBq@~@_@ZGJG\IbBm@NAr@Lb@NDFd@LBI?UAEEAEWHAHGRW^Md@URAJGl@OFGBc@J_@HOHIb@W^_@D?JIb@IN@TD`@B^GVQH[CQ@_@XUr@oAN_@@KA_@BQrAcCDCRk@BKAa@IuBQuBAu@OsB@KQoACiAGs@Ai@HITIHBXIF@FDTKTCH@TE@CBO?aAGm@Am@Is@McCQkBEkAE[A_@YuDAOBMIa@@OW_DAi@MkAIkBEWAc@Is@I}AIs@Bg@G]Ai@Ie@IaA@UE_@@KS{B@U@a@EUECK{@Am@McA?e@E[@QMyAGwAGKUCGC]?CAODMEQDa@ACDEdAHp@AHBDFxADV?JFfAHj@B`@EHeAFi@Jg@Gc@JMAYFs@BEBi@?_AFUKE?a@Hs@DEDW@KGOD[BGF[DWAyAR[Eg@DKDe@?s@F]@KDUAg@LKAYBy@?e@FY?g@Fi@@SD_@AGCm@FOEE?_@FIA[J_@@ICMDUAQDS?IDM?g@Ja@BK@QIGDOBQGa@?WFOH]j@]jAMCCBKXIBSCIDEHG@K?KEMD_@x@I`@B\HHVd@j@l@V`@NLNX@FVT@DTXD@DADDHRPXj@l@Rh@NHd@j@Rd@@PR\@LTf@?THPBPPTBNv@lANp@LNFf@N^Pl@HNRPFRHJTl@FXhAfCB\BFFNPTBNX`@Pj@LRTn@@NCLZ`@^~@?JFL@THTTZNHJ\NVN`@Dd@RNPZDTHRX`@DRPPDLFZD@FJ@JR\BPHHJR@H?HNPj@nAKHCJEl@e@rCIh@?Re@rCGr@a@~BIr@ELCZm@fEC\Gf@AVY~@Mt@AXITCJBHFHBd@DVARBT@n@ADIHWN,15.2388,2140,Morning Run,0,1,FALSE,2,Run,2022-08-22T14:29:40Z,2022-08-22T07:29:40Z,37.8819081187248,-122.291600564495,(GMT-08:00) America/Los_Angeles,62,0,FALSE,Run,8197635967,8197635967,-25200,everyone,0
0,1,66644446,1,10.2888,0,FALSE,FALSE,6.0759,2248,76.2,20.8,37.8815615270287,-122.291501574218,D7AEF770-6935-465A-A8C5-99A93C2D1C7E-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7664604949,1,FALSE,a7664604949,2,mxefFraliVd@KX@FABIOoABGOq@DWEGOGLg@Hu@@IHG|@g@LCTQZKVENKt@WJKD@PIF?XMPGVQlBe@jAe@RC\Fn@NNJh@FHK?IIU@KX_@^KZQTCb@QTGPKDI?KHKDUHQX]TIPW^[`@KPDl@Db@IPGJYBs@NMNSv@_BBKA_@@S`AoBZc@Tk@?c@IoABG@WSiBS_DC[GQ?UAJB?Iw@?QMyBHi@JKz@GZGDAJDFAXQDe@Gq@?k@OwAIuAI_@@SKcB?k@GsAScB?OKmAAi@MiA@QSmB?[Im@Cg@CKC{@CU?UEW?W]gE@WOsB@YKc@Ba@CMIaAOoCK{@G{AEKA]ESAi@EUKiDGU_@IK@YEU@SEa@FEACBAd@BVDx@LrBLvABFAJF|@AHsAH]Fg@?q@FcADMBOAc@DQAu@LW@KGM?MDGAeALUEWJe@Ha@?SFMEGFy@Fc@A]Fg@CkANKEk@BQCI@IFG@KEIDe@HY?IBSLSCk@BSAs@F_A@IAMG]Fg@Nq@BYNi@CM@yARKAw@Ac@BUDUPKLMZQHCDEb@ENa@h@EDQ@EAOFMCUHQPKPMBCVCBAJJRLJNPHDHLVRBFZVFPD@TTDP`@^T^JADFfAdB^d@BHTTFT^t@F\JXRVBTb@z@HXHJTl@Vt@TfAXj@HX?Ld@l@Z`A^r@FZLTRTRj@BP?F@Lj@~@Tn@^v@JLLd@b@fAFb@FJTz@T`@LLP\H\JRDTNVJXVf@?HEF?Rf@bAFZJPFPXd@@D?^l@x@Pf@Kj@Gt@GRCd@Qd@?HC\Kv@UnAQdBGTU~AMj@Ej@m@jDEp@EJKf@C`@Mj@In@Ot@ALHV?HHd@DDBJGh@@`@FLADIF,16.480800000000002,2126,Morning Run,0,0,FALSE,2,Run,2022-08-19T14:12:08Z,2022-08-19T07:12:08Z,37.8818325139582,-122.291615484282,(GMT-08:00) America/Los_Angeles,61.9,0,FALSE,Run,8178966633,8178966633,-25200,everyone,0
0,1,66644446,1,4.32,0,FALSE,FALSE,15.3483,16953,1826,1215.9,37.739807702601,-119.565023286268,9626942B-49AE-44F0-847E-CDD5A141FBD9-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7664428831,1,FALSE,a7664428831,2,ymheF|fvxUrBN|AsA|C]rE|@pJpAx@mATuC|@uBGcBh@oB?u@wAsEVgCKPd@uBUqG^w@xAq@m@a@S_CP}Bi@gBSKLk@QmHJaDS@PUOiAkB}CPGWq@?k@PQiAS`A`@Ru@M@BWXAONLQ[M^y@@IQGL]Q?ZCSAQBVg@EmBJ]TXe@c@^W_@CR[m@C|@W_@DTBs@BuAdBWp@TUJ{@[}@Rg@YIj@STsBN@f@y@^d@Ta@?`@RFn@_BKq@Pa@WWRu@sAiAI_AN{@Si@{@g@[w@_@MKm@{AoADY`@O~ASfCsB_@KQ{@Jm@KgAFi@\@W}AFVL]DTJYV?CPr@SB}@OE?\g@S^i@gAIe@c@MTJDJUo@NDC@SSWPFh@Un@}@GK?w@p@CLIk@k@^DCYEXIW?LKYZQCQi@LFYXHE[E`@IYYFVk@LFA[EX?c@e@IPSTEe@?JIK]v@?o@a@f@ESYVWNe@AeAQUfDvAO_@eAqA|Ax@{B}@c@q@Eo@Zd@G{@XFMUIRd@d@o@m@k@^NGAX^}@_@\E]Z[QYbA?n@nCCn@|@tBPlAvAfC|@ZMlALBC{A}@IMiAQEFYIXHQKHRHTlAz@NhBxAd@@d@n@XnA~@T`@l@dB`ApClMDjAONQbFw@bCGfBDfA\bAKzAEaAaAmB_@aC]rBx@bDkAjHm@dAiCbIJ{EaA|BcAzEi@o@ItAU^a@eBOCIxBp@|@@`Ar@v@p@y@bANLEFc@j@Rd@b@cAMy@Zv@@H\|@VsAYJFt@rALIDb@G]aBc@Rp@d@J`@r@e@UT`ARJQpAp@Rm@PbA^b@rBbBnBBjAQ}@qBu@kAeAs@wAqAa@c@Fp@f@n@bCu@_AmD{CD~@N?p@jBAZTBLzA_FsFXjBdAxABfBO{@g@s@yAa@HJIm@_AqAMDJ\JjAGh@f@r@Hz@WjD^nAx@^qBp@g@v@Rt@PdFs@lEZ|AEZ|@bAHrAw@vBZfBmAtB?|@YhAPHm@l@Dd@i@]}AQ{A@_Dg@iAu@_COyCX{B|AuI{Bj@rAl@fISdAJ\Q?{@vCqDdFcCfF_AbDQbBaBlCgBxAiOfGoBuFiBoB?W[FXYaAmBI\Nf@,26.9568,12790,Evening Hike,0,0,FALSE,2,Hike,2022-08-14T21:44:55Z,2022-08-14T14:44:55Z,37.7316565532237,-119.558385657147,(GMT-08:00) America/Los_Angeles,699,0,FALSE,Hike,8178766788,8178766788,-25200,everyone,NA
0,1,66644446,1,10.0512,0,FALSE,FALSE,6.0649,2208,76.2,20.8,37.8814669791609,-122.291453126818,75432A63-3DF9-4962-A4BF-B7C0F033C78A-activity.fit,FALSE,FALSE,FALSE,FALSE,FALSE,7620643825,0,FALSE,a7620643825,2,mxefFjaliVPBz@QGIEAAGBs@IO@UGUCWEIGA@IRWGG@QJk@bAw@p@[^M|@_@l@SVEJIVGt@]j@OxBy@TA~Af@^HHAAMIIDIBYDSz@[FG\GNIt@WBG?QD?\_ADEf@]PWLGJITGVAb@LR@\GXOFK@IEq@HIHADCBSX_@d@cADMCU@WP_@\k@JYT]d@eAG}@@g@EC?E@GA[UoB?UMiBAm@CME@BSIy@I}ADY@c@BGAWBATAb@KD@d@GJ?XGBG?{AOkAIeAc@wGEmAKeACm@I}@Ac@WaDEoAGk@GcAGc@Cq@_@mFEoAEk@EQAa@CWMeBA}@G_@E{@Ku@CiAOgB?q@Kq@MeCEWIEwABK?WBO?CB@XHb@?JAXEPDd@Kr@D~AHz@FX?VCDS?kANe@Aq@Jc@?o@He@@WBw@DEAKGE?I@MHi@@k@Hc@?ODm@DGDMCQBU?a@FYA]FICYDiABEBY?GD_@@MFOC_@B]AGBS?KBQCc@LoABa@Ba@?q@FWGOBCC]J{@LOH_@GG@CFKA_@Fo@@OBGCU@MDCE[EEDY@m@LQNUVEVINKf@]h@GBE?GD[BSAWHOLe@dA?HBJRLPVPLl@h@z@bARXj@h@LPVX\l@zAnBBPRf@Jb@^pAd@v@BR^r@Ld@^z@BLTf@DRn@nAtAxDNVDJ@XHPVd@DNLTDPp@tAPn@`@x@^|AX^Xh@Vh@FTb@dAHVb@r@h@fATl@DTp@vAPVFVHNKHGPc@fDITKREt@IZ[~C]fBMhAIXANk@zDSbBYvA?DSlAEZDDF@Jz@Bd@EL?FFH@LDD?J,17.4384,2172,Morning Run,0,0,FALSE,2,Run,2022-08-11T14:06:25Z,2022-08-11T07:06:25Z,37.8818352799863,-122.291580112651,(GMT-08:00) America/Los_Angeles,61.8,0,FALSE,Run,8129925250,8129925250,-25200,everyone,0
